Format: [timestamp_ms] , raw_ppg , moving_avg , threshold , peak , bpm
         1 ,  27590 ,   1379 ,  16554 , ---- ,    0.0
         7 ,  26134 ,   2686 ,  16554 , ---- ,    0.0
        12 ,  25302 ,   3951 ,  16554 , ---- ,    0.0
        18 ,  26102 ,   5256 ,  16554 , ---- ,    0.0
        23 ,  23685 ,   6440 ,  16554 , ---- ,    0.0
        28 ,  24582 ,   7669 ,  16554 , ---- ,    0.0
        34 ,  22309 ,   8785 ,  16554 , ---- ,    0.0
        39 ,  24341 ,  10002 ,  16554 , ---- ,    0.0
        44 ,  23253 ,  11164 ,  16554 , ---- ,    0.0
        50 ,  24966 ,  12413 ,  16554 , ---- ,    0.0
        55 ,  23685 ,  13597 ,  16554 , ---- ,    0.0
        61 ,  25366 ,  14865 ,  16554 , ---- ,    0.0
        66 ,  25910 ,  16161 ,  16554 , ---- ,    0.0
        71 ,  25286 ,  17425 ,  16554 , ---- ,    0.0
        77 ,  26518 ,  18751 ,  16554 , ---- ,    0.0
        82 ,  25942 ,  20048 ,  16554 , ---- ,    0.0
        87 ,  27030 ,  21400 ,  16554 , ---- ,    0.0
        93 ,  26086 ,  22704 ,  16554 , ---- ,    0.0
        98 ,  27574 ,  24083 ,  16554 , ---- ,    0.0
       104 ,  26406 ,  25403 ,  16554 , ---- ,    0.0
       109 ,  27958 ,  25421 , 16774.8 , ---- ,    0.0
       114 ,  26966 ,  25463 , 16774.8 , ---- ,    0.0
       120 ,  29031 ,  25649 , 17418.6 , ---- ,    0.0
       125 ,  30871 ,  25888 , 18522.6 , ---- ,    0.0
       130 ,  29767 ,  26192 , 18522.6 , ---- ,    0.0
       136 ,  29975 ,  26462 , 18522.6 , ---- ,    0.0
       141 ,  30519 ,  26872 , 18522.6 , ---- ,    0.0
       147 ,  32103 ,  27260 , 19261.8 , ---- ,    0.0
       152 ,  31463 ,  27671 , 19261.8 , ---- ,    0.0
       157 ,  33576 ,  28101 , 20145.6 , ---- ,    0.0
       163 ,  31815 ,  28508 , 20145.6 , ---- ,    0.0
       168 ,  33352 ,  28907 , 20145.6 , ---- ,    0.0
       173 ,  34008 ,  29312 , 20404.8 , ---- ,    0.0
       179 ,  33496 ,  29722 , 20404.8 , ---- ,    0.0
       184 ,  35336 ,  30163 , 21201.6 , ---- ,    0.0
       190 ,  34568 ,  30595 , 21201.6 , ---- ,    0.0
       195 ,  35848 ,  31035 , 21508.8 , ---- ,    0.0
       201 ,  34504 ,  31456 , 21508.8 , ---- ,    0.0
       206 ,  35800 ,  31868 , 21508.8 , ---- ,    0.0
       211 ,  34632 ,  32279 , 21508.8 , ---- ,    0.0
       217 ,  36136 ,  32688 , 21681.6 , ---- ,    0.0
